id,text
0,"Amber is a Munich style lager brewed with crystal malt and Perle hops. It has a smooth, malty, slightly caramel flavor and a rich amber color. Abita Amber was the first beer offered by the brewery and continues to be our leading seller."
1,"Turbodog is a dark brown ale brewed with Willamette hops and a combination of pale, crystal and chocolate malts. This combination gives Turbodog its rich body and color and a sweet chocolate toffee-like flavor. Turbodog began as a specialty ale but has gained a huge loyal following and has become one of our flagship brews."
2,"Experience the magic of Purple Haze.® Clouds of real raspberries swirl in this tart and tantalizing lager inspired by the good spirits and dark mysteries of New Orleans. Brewed with pilsner and wheat malts along with Vanguard hops, let the scent of berries in the hazy purple brew put a spell on you."
3,"Wheat (May – September) German brewers discovered centuries ago that the addition of wheat produces a distinctively light, refreshing beer. Unlike traditional German wheat beers produced by other breweries, Abita Wheat is a lager, not an ale, and contains a generous amount of wheat which produces a clean, simple flavor."
4,"Golden is a crisp, clean continental lager. Just four ingredients are all it takes: American malt, Mt. Hood hops, German lager yeast and pure Abita Springs water. As the name implies, Abita Golden has a brilliant gold color. Its flavor makes this light lager the perfect match for Louisiana Creole food."
5,Allagash Dubbel boasts a deep red color and a complex malty taste. The finish is dry with subtle hints of chocolate and nuts. The yeast asserts itself by lending a classic Belgian fruitiness.
6,No longer bottled but occasionally available on-tap at Widmer Gasthaus.
7,availability: year-round
8,XXX version is for the export market.
9,"With an awesome floral nose, & fresh hop flavor, “The Purple” is one of the most sessionable IPA’s out there. Beer Advocate calls it, “A damn solid IPA”."
10,"Chocolate, coffee, and oatmeal flake undertones give this porter its delicious flavor. Its dark complextion and bitter hops give it character."
11,"Using traditional Oktoberfest specialty malts & hops, it has a balanced bitterness & beautiful copper coloring."
12,"An easy drinking Amber Ale with low bitterness, a subtle malt profile and a balanced finish."
13,"Drawing on Quebec folklore, Unibroue chose the name Trois Pistoles to honour the city’s historic importance and pay homage to the legend of the Black Horse. Conjured up by a priest to help build a new church, this incarnation of the devil ran off when its bridle was removed. Because construction was still underway when the horse vanished, a stone remains missing from the church to this day."
14,The Blanche de Chambly label features the icon of the city where it is brewed: Fort Chambly. It was converted from a wooden barricade used for fighting against the Iroquois in the middle of the XVII century into a stone fortress to combat the British army at the beginning of the XVIII century. 
15,"First brewed in 1996, Eau Benite ""Oh-Bey-Knit"" (Holy Water) was developed to offer the characteristics of a bottle refermented triple with a slightly lower alcohol content. This is a refreshing pale golden ale with a slightly fruity nose and a pleasant character."
16,"Without a doubt Unibroue’s best-known beer, La Maudite is inspired by abbey beers and Belgian double-style ales. It first hit the shelves in 1992 and took the province by storm with its 8% alcohol content, making it the first strong beer available in grocery stores."
17,La Fin du Monde was developed through 18 months of research on a unique strain of yeast originating from Europe. It is brewed in honor of the intrepid European explorers who believed they had reached the “end of the world” when they discovered North America ‘the new world’. This triple-style golden ale recreates the style of beer originally developed in the Middle Ages by trappist monks for special occasions and as such it was the first of its kind to be brewed in North America.
18,A bold yet balanced American Pale Ale with slight caramel sweetness and aggressive citrus hoppiness. This is our flagship beer.
19,"Like ales of Northern England, this ale combines British Challenger hops and yeast, spring water, carastan and black patent malts for a robust malty character and a rich chestnut-coloured ale."
20,"The most popular of Upper Canada brews, this German style lager combines imported hops and yeast, spring water and malted barley for an exceptionally balanced, honey coloured lager."
21,Brewed with coffee.
22,"Grand Cru is brewed with a touch of peated malt and spiced with coriander, sweet orange peel and a hint of anise. It is deep golden in color, full bodied and has hints of smoke and licorice in the taste and aroma. The malty, warming finish is perfect for colder weather."
23,"Our interpretation of a traditional Belgian wheat beer. Brewed with a generous portion of wheat and spiced with coriander and Curacao orange peel, this beer is fruity, refreshing and slightly cloudy in appearance."
24,"With deep black color, a thick, creamy head, rich chocolate, toffee and coffee flavors, and full-bodied smoothness, Anchor Porter® is the epitome of a handcrafted dark beer."
25,"Anchor Steam® Beer owes its deep amber color, thick, creamy head, and rich, distinctive flavor to a historic brewing process like none other."
26,"Brewed using a blend of imported and classic American aroma hops, and a blend of barley malts and rice. Budweiser is brewed with time-honored methods including “kraeusening” for natural carbonation and Beechwood aging, which results in unparalleled balance and character."
27,"King Cobra is an American malt liquor with a robust and full-bodied, smooth, clean taste."
28,"Redhook Blonde combines the best attributes of a flavorful golden ale with the refreshing qualities of a lager. The ale is brewed with three different malts and two hop varietals. Lightly roasted barley and a touch of wheat, combined with an ample portion of hops, creates a truly crowd pleasing beer."
29,"Ah, Spring…the season that keeps us guessing. Will it rain, or will the sun be out? Do I take advantage of the last days of skiing, or the first days of hiking? Do I put on jeans, or dare break out the shorts? The season comes with enough uncertainty, so Redhook gives you something you can always count on…our Nut Brown Ale. This medium dark beer is layered with rich malty aromas and flavors of chocolate, caramel, brown sugar, and a hint of vanilla. Although it may be dark in color, it’s refreshingly smooth and highly sessionable. Nut Brown is the perfect beer for spring."
30,"Early American colonialists, seeking natural ingredients for brewing ales, turned to pumpkins, which were plentiful, flavorful and nutritious. Blended with barley malt, pumpkins became a commonly used beer ingredient. Post Road Pumpkin Ale brings back this tasty tradition. Hundreds of pounds of pumpkins are blended into the mash of each batch, creating a beer with an orange amber color, warm pumpkin aroma, biscuity malt center, and crisp finish."
31,The IPA That Launched Generations of Hop Fanatics
32,A porter with hints of chocolate & coffee balanced by subtle smokiness
33,"At Arrogant Bastard Brewing Co., we believe that pandering to the lowest common denominator represents the height of tyranny—a virtual form of keeping the consumer barefoot and stupid. Brought forth upon an unsuspecting public in 1997, Arrogant Bastard Ale openly challenged the tyrannical overlords who were brazenly attempting to keep Americans chained in the shackles of poor taste. As the progenitor of its style, Arrogant Bastard Ale has reveled in its unprecedented and uncompromising celebration of intensity. There have been many nods to Arrogant Bastard Ale...even outright attempts to copy it...but only one can ever embody the true nature of Liquid Arrogance!"
34,Bronze Medal Winner in the European Darks category at the 1988 Great American Beer Festival (GABF).
35,Formerly Blue Moon Harvest Moon Pumpkin Ale
36,"In 1810, the Oktoberfest tradition was born when Munich celebrated the Crown Prince's wedding with a special beer and 16-day party. Our version of this classic style blends hearty malts for a deep, smooth flavor of caramel, creating a brew that's perfect for the season, or whatever you're celebrating. Smooth with a roasty sweetness, and light hop character."
37,"An American Wheat, brewed with malted wheat, lemon zest and grains of paradise - a rare pepper from Africa first used as a brewing spice in the 13th Century to create a crisp and spicy flavor and body."
38,Our original beer is full-flavored with a balance of malty sweetness contrasted by hop spiciness and a smooth finish.
